area,plastic_uncorrected
A,22003.4
A,18661.83
A,23833.63
C,81057.41
C,46312.59
C,122950.85
C,135978.67
C,69690.06
C,193112.58
C,126806.19
C,129962.7
C,67790.98
C,135853.27
C,197069.54
C,294481.93
C,900780.57
C,176902.02
C,243828.77
C,3496392.82
C,1263656.39
C,1151278.44
A,13960.23
A,12984.53
A,18921.53
A,12269.23
A,10399.2
A,4676.86
A,2722.97
A,5056.19
A,1231.95
A,3320.11
A,6150.22
A,5573.67
A,5856.22
A,2566.4
C,1061944.75
C,315462.96
C,214624.88
C,803771.63
C,889809.63
C,264667.74
C,147220.64
C,1144851.74
C,68562.36
